incidnt_num,date,cleaned_date,cleaned_time,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,01/31/2014,08:00:00 AM +0000,,,,,
