year,year_rank,group_name,artist,song_name,id,,,
1961,6,Jive Five,Jive Five,My True Story,514,,,
1961,7,Chubby Checker,Chubby Checker,Pony Time,515,,,
1961,8,String-a-longs,String-a-longs,Wheels,516,,,
1961,9,Dee Clark,Dee Clark,Raindrops,517,,,
1961,10,Joe Dowell,Joe Dowell,Wooden Heart (Muss I Denn),518,,,
1962,5,David Rose,David Rose,The Stripper,613,,,
1962,6,Shelley Fabares,Shelley Fabares,Johnny Angel,614,,,
1962,7,Little Eva,Little Eva,The Loco-Motion,615,,,
1962,8,Sensations,Sensations,Let Me In,616,,,
1962,9,Chubby Checker,Chubby Checker,The Twist,617,,,
1962,10,Shirelles,Shirelles,Soldier Boy,618,,,
1963,5,Chiffons,Chiffons,He's So Fine,713,,,
1963,6,Bobby Vinton,Bobby Vinton,Blue Velvet,714,,,
1963,7,Paul and Paula,Paul and Paula,Hey Paula,715,,,
1963,8,Little Stevie Wonder,Little Stevie Wonder,Fingertips II,716,,,
1963,9,Village Stompers,Village Stompers,Washington Square,717,,,
1963,10,Impressions,Impressions,It's All Right,718,,,
1964,5,Beach Boys,Beach Boys,I Get Around,814,,,
1964,6,Dean Martin,Dean Martin,Everybody Loves Somebody,815,,,
1964,7,Mary Wells,Mary Wells,My Guy,816,,,
1964,8,Gale Garnett,Gale Garnett,We'll Sing In The Sunshine,817,,,
1964,9,J. Frank Wilson and The Cavaliers,J. Frank Wilson and The Cavaliers,Last Kiss,818,,,
1964,10,Supremes,Supremes,Where Did Our Love Go,819,,,
1965,5,Righteous Brothers,Righteous Brothers,You've Lost That Lovin' Feelin',916,,,
1965,6,Petula Clark,Petula Clark,Downtown,917,,,
1965,7,Beatles,Beatles,Help!,918,,,
1965,8,Herman's Hermits,Herman's Hermits,Can't You Hear My Heartbeat,919,,,
1965,9,Elvis Presley,Elvis Presley,Crying In The Chapel,920,,,
1965,10,Temptations,Temptations,My Girl,921,,,
1966,5,? and The Mysterians,? and The Mysterians,96 Tears,1016,,,
1966,6,Monkees,Monkees,Last Train To Clarksville,1017,,,
1966,7,Mama's and The Papa's,Mama's and The Papa's,"Monday, Monday",1018,,,
1966,8,Supremes,Supremes,You Can't Hurry Love,1019,,,
1966,9,Johnny Rivers,Johnny Rivers,Poor Side Of Town,1020,,,
1966,10,Mama's and The Papa's,Mama's and The Papa's,California Dreamin',1021,,,
1967,5,Monkees,Monkees,I'm A Believer,1116,,,
1967,6,Doors,Doors,Light My Fire,1117,,,
1967,7,Nancy Sinatra and Frank Sinatra,Nancy Sinatra,Somethin' Stupid,1118,,,
1967,7,Nancy Sinatra and Frank Sinatra,Frank Sinatra,Somethin' Stupid,1119,,,
1967,8,Turtles,Turtles,Happy Together,1120,,,
1967,9,Young Rascals,Young Rascals,Groovin',1121,,,
1967,10,Frankie Valli,Frankie Valli,Can't Take My Eyes Off You,1122,,,
1968,5,Rascals,Rascals,People Got To Be Free,1219,,,
1968,6,Cream,Cream,Sunshine Of Your Love,1220,,,
1968,7,Herb Alpert,Herb Alpert,This Guy's In Love With You,1221,,,
1968,8,Hugo Montenegro,Hugo Montenegro,"The Good, The Bad And The Ugly",1222,,,
1968,9,Simon and Garfunkel,Simon and Garfunkel,Mrs. Robinson,1223,,,
1968,10,Archie Bell and The Drells,Archie Bell and The Drells,Tighten Up,1224,,,
1969,5,Sly and The Family Stone,Sly and The Family Stone,Everyday People,1322,,,
1969,6,Tommy Roe,Tommy Roe,Dizzy,1323,,,
1969,7,Sly and The Family Stone,Sly and The Family Stone,Hot Fun In The Summertime,1324,,,
1969,8,Tom Jones,Tom Jones,I'll Never Fall In Love Again,1325,,,
1969,9,Foundations,Foundations,Build Me Up Buttercup,1326,,,
1969,10,Tommy James and The Shondells,Tommy James and The Shondells,Crimson And Clover,1327,,,
1970,5,Edwin Starr,Edwin Starr,War,1422,,,
1970,6,Diana Ross,Diana Ross,Ain't No Mountain High Enough,1423,,,
1970,7,Jackson 5,Jackson 5,I'll Be There,1424,,,
1970,8,Rare Earth,Rare Earth,Get Ready,1425,,,
1970,9,Beatles,Beatles,Let It Be,1426,,,
1970,10,Freda Payne,Freda Payne,Band Of Gold,1427,,,
1971,5,Bee Gees,Bee Gees,How Can You Mend A Broken Heart,1522,,,
1971,6,Raiders,Raiders,Indian Reservation,1523,,,
1971,7,Donny Osmond,Donny Osmond,Go Away Little Girl,1524,,,
1971,8,John Denver,John Denver,"Take Me Home, Country Roads",1525,,,
1971,9,Temptations,Temptations,Just My Imagination (Running Away With Me),1526,,,
1971,10,Dawn,Dawn,Knock Three Times,1527,,,
1972,5,Sammy Davis Jr.,Sammy Davis Jr.,Candy Man,1622,,,
1972,6,Joe Tex,Joe Tex,I Gotcha,1623,,,
1972,7,Bill Withers,Bill Withers,Lean On Me,1624,,,
